district,state,crop,year,season,rainfall_mm,temperature_avg_c,soil_type,irrigation_pct,fertilizer_kg_per_ha,msp_inr_per_quintal,yield_kg_per_ha
Meerut,Uttar Pradesh,Rice,2020,Kharif,994.8,28.7,Alluvial,78.9,75.0,1868,2321.8
Mysore,Karnataka,Sugarcane,2015,Kharif,914.1,26.6,Red,45.4,202.9,2100,40000.0
Jodhpur,Rajasthan,Rice,2020,Kharif,248.1,28.9,Alluvial,39.3,108.2,1868,1500.0
Nagaon,Assam,Sugarcane,2021,Kharif,1990.2,25.5,Alluvial,40.2,92.6,2900,40000.0
Karnal,Haryana,Rice,2021,Kharif,236.5,28.1,Desert,81.5,221.1,1940,1500.0
Meerut,Uttar Pradesh,Rice,2017,Kharif,1064.5,23.6,Alluvial,76.2,180.0,1550,2331.6
Indore,Madhya Pradesh,Rice,2011,Kharif,1111.2,28.4,Alluvial,43.2,192.6,1080,2383.9
Nagaon,Assam,Rice,2022,Kharif,2309.5,24.2,Laterite,49.1,201.8,2040,1500.0
Ahmedabad,Gujarat,Sugarcane,2022,Kharif,789.1,27.3,Black,50.0,51.4,3050,40000.0
Krishna,Andhra Pradesh,Sugarcane,2012,Kharif,1145.6,28.8,Red,52.9,265.8,1700,42104.2
Amritsar,Punjab,Rice,2016,Kharif,417.2,21.0,Alluvial,94.5,209.4,1470,1584.9
Ludhiana,Punjab,Sugarcane,2014,Kharif,666.8,26.0,Alluvial,90.1,242.7,1900,40000.0
Patna,Bihar,Sugarcane,2019,Zaid,754.8,26.5,Alluvial,67.4,168.8,2750,40000.0
Karnal,Haryana,Wheat,2014,Rabi,430.5,20.8,Alluvial,83.0,285.7,1400,2962.2
Thanjavur,Tamil Nadu,Wheat,2021,Rabi,1274.6,29.4,Alluvial,82.1,131.1,1975,1800.0
Jodhpur,Rajasthan,Sugarcane,2023,Kharif,527.5,24.1,Desert,35.5,265.2,3150,40000.0
Gorakhpur,Uttar Pradesh,Sugarcane,2018,Zaid,820.9,25.4,Alluvial,48.4,285.7,2750,40000.0
Jaipur,Rajasthan,Rice,2013,Kharif,438.6,27.8,Alluvial,36.2,224.1,1310,1771.5
Hisar,Haryana,Rice,2017,Kharif,513.3,23.8,Desert,60.3,58.3,1550,1500.0
Ludhiana,Punjab,Sugarcane,2023,Zaid,250.1,27.7,Alluvial,90.0,198.2,3150,40000.0
Jaipur,Rajasthan,Sugarcane,2010,Kharif,379.4,32.2,Alluvial,45.8,183.9,1450,40000.0
Ludhiana,Punjab,Rice,2021,Kharif,782.1,24.2,Alluvial,95.5,131.5,1940,2081.7
Cuttack,Odisha,Sugarcane,2012,Zaid,1081.3,28.2,Red,44.9,179.4,1700,40000.0
Bardhaman,West Bengal,Rice,2018,Kharif,1661.7,25.3,Laterite,46.4,215.0,1750,1623.0
Jodhpur,Rajasthan,Rice,2011,Kharif,550.1,28.5,Desert,23.5,137.3,1080,1500.0
Patiala,Punjab,Wheat,2017,Rabi,652.5,28.5,Alluvial,82.4,285.0,1625,2087.9
Coimbatore,Tamil Nadu,Wheat,2011,Rabi,136.2,28.0,Red,55.6,228.0,1120,1800.0
Mysore,Karnataka,Sugarcane,2012,Kharif,1233.8,24.1,Laterite,39.2,116.3,1700,40000.0
Lucknow,Uttar Pradesh,Wheat,2022,Rabi,1082.1,25.9,Alluvial,65.9,137.5,2015,1800.0
Kolhapur,Maharashtra,Rice,2014,Kharif,1198.4,23.9,Red,30.6,211.4,1360,1670.2
Warangal,Telangana,Wheat,2022,Rabi,1101.7,27.5,Red,40.4,282.1,2015,1800.0
Mysore,Karnataka,Sugarcane,2012,Zaid,955.2,28.9,Red,34.8,117.1,1700,40000.0
Coimbatore,Tamil Nadu,Rice,2019,Kharif,1052.0,29.5,Alluvial,52.4,203.8,1815,2437.0
Amritsar,Punjab,Sugarcane,2020,Zaid,592.9,25.4,Alluvial,94.1,225.6,2850,40000.0
Ahmedabad,Gujarat,Wheat,2016,Rabi,412.1,26.7,Black,47.0,51.3,1525,1800.0
Belgaum,Karnataka,Rice,2017,Kharif,1405.3,28.7,Laterite,33.4,143.9,1550,1514.6
Jabalpur,Madhya Pradesh,Sugarcane,2015,Kharif,1698.1,22.4,Black,46.0,265.1,2100,40000.0
Muzaffarpur,Bihar,Wheat,2015,Rabi,602.1,27.8,Alluvial,55.7,117.9,1450,1983.6
Meerut,Uttar Pradesh,Wheat,2022,Rabi,825.1,23.4,Alluvial,84.0,84.6,2015,2060.6
Coimbatore,Tamil Nadu,Wheat,2023,Rabi,967.8,28.4,Laterite,61.0,69.6,2125,1800.0
Mysore,Karnataka,Wheat,2016,Rabi,1670.0,26.3,Red,34.3,89.1,1525,1800.0
Nagaon,Assam,Wheat,2018,Rabi,1495.6,26.4,Laterite,37.9,214.3,1735,1800.0
Ahmedabad,Gujarat,Sugarcane,2012,Zaid,504.1,28.6,Alluvial,45.4,79.0,1700,40000.0
Krishna,Andhra Pradesh,Wheat,2023,Rabi,796.2,30.1,Red,60.8,149.6,2125,1800.0
Hisar,Haryana,Wheat,2013,Rabi,687.4,21.0,Desert,62.5,184.8,1350,1982.7
Guntur,Andhra Pradesh,Sugarcane,2011,Kharif,1046.3,29.9,Red,59.3,82.1,1450,41424.6
Bardhaman,West Bengal,Rice,2021,Kharif,1731.8,27.3,Laterite,45.2,118.5,1940,1500.0
Pune,Maharashtra,Wheat,2022,Rabi,1298.3,25.8,Black,46.4,146.3,2015,1800.0
Nagaon,Assam,Wheat,2012,Rabi,1751.1,24.5,Alluvial,33.7,284.2,1285,1800.0
Jodhpur,Rajasthan,Rice,2022,Kharif,275.7,26.3,Desert,29.2,194.0,2040,1500.0
Karnal,Haryana,Wheat,2010,Rabi,413.0,28.3,Desert,88.4,109.6,1100,1800.0
Jabalpur,Madhya Pradesh,Rice,2012,Kharif,1415.5,26.5,Alluvial,32.4,75.0,1250,1958.8
Ahmedabad,Gujarat,Rice,2012,Kharif,732.2,26.5,Alluvial,61.9,170.6,1250,2201.5
Guntur,Andhra Pradesh,Rice,2014,Kharif,668.3,26.7,Alluvial,50.3,286.5,1360,2242.8
Meerut,Uttar Pradesh,Rice,2014,Kharif,760.2,26.0,Alluvial,81.0,160.4,1360,2452.3
Bardhaman,West Bengal,Sugarcane,2011,Kharif,1723.9,26.7,Laterite,61.7,259.6,1450,40000.0
Gorakhpur,Uttar Pradesh,Wheat,2018,Rabi,1011.8,27.7,Alluvial,42.0,71.2,1735,1800.0
Guntur,Andhra Pradesh,Rice,2010,Kharif,861.1,29.2,Alluvial,69.7,238.3,1000,2211.5
Thanjavur,Tamil Nadu,Rice,2021,Kharif,388.9,30.9,Alluvial,68.3,158.6,1940,1500.0
Coimbatore,Tamil Nadu,Wheat,2019,Rabi,1255.6,29.9,Laterite,66.2,236.5,1840,1800.0
Nagaon,Assam,Rice,2021,Kharif,2276.1,24.4,Laterite,35.9,250.5,1940,1500.0
Nashik,Maharashtra,Rice,2014,Kharif,1141.2,27.6,Black,54.1,180.8,1360,2289.7
Pune,Maharashtra,Sugarcane,2010,Kharif,886.0,30.1,Black,31.1,120.2,1450,45053.2
Gorakhpur,Uttar Pradesh,Wheat,2021,Rabi,838.4,24.5,Alluvial,44.2,211.7,1975,1853.1
Warangal,Telangana,Wheat,2021,Rabi,471.8,28.5,Red,55.1,117.7,1975,1800.0
Patiala,Punjab,Rice,2015,Kharif,391.6,28.6,Alluvial,93.7,266.5,1410,1816.4
Jabalpur,Madhya Pradesh,Rice,2015,Kharif,1132.7,24.1,Black,34.8,257.3,1410,1905.6
Ludhiana,Punjab,Wheat,2018,Rabi,358.7,22.5,Alluvial,81.0,266.2,1735,2567.2
Hisar,Haryana,Wheat,2012,Rabi,697.1,25.9,Alluvial,68.9,144.5,1285,1998.9
Patna,Bihar,Wheat,2010,Rabi,1130.1,27.9,Alluvial,50.7,217.9,1100,1800.0
Warangal,Telangana,Sugarcane,2017,Kharif,1010.6,31.1,Red,60.8,126.9,2550,40317.2
Hooghly,West Bengal,Rice,2023,Kharif,1525.3,29.0,Laterite,47.0,155.1,2183,1664.2
Pune,Maharashtra,Wheat,2020,Rabi,1048.2,26.3,Red,54.5,202.0,1925,1800.0
Kolhapur,Maharashtra,Sugarcane,2012,Kharif,1326.1,30.4,Black,49.6,149.1,1700,54336.5
Thanjavur,Tamil Nadu,Rice,2014,Kharif,941.6,30.7,Red,72.3,114.6,1360,1668.7
Amritsar,Punjab,Wheat,2014,Rabi,412.2,22.5,Alluvial,92.5,135.4,1400,2563.8
Jabalpur,Madhya Pradesh,Sugarcane,2020,Zaid,795.7,27.7,Alluvial,33.6,274.2,2850,40000.0
Ahmedabad,Gujarat,Wheat,2022,Rabi,667.4,26.0,Black,45.8,187.2,2015,1829.2
Hooghly,West Bengal,Wheat,2023,Rabi,1617.2,24.1,Alluvial,43.0,73.1,2125,1800.0
Indore,Madhya Pradesh,Sugarcane,2017,Zaid,943.9,24.2,Black,41.9,251.6,2550,40000.0
Ahmedabad,Gujarat,Sugarcane,2017,Zaid,992.2,26.0,Alluvial,56.6,236.9,2550,40000.0
Jaipur,Rajasthan,Sugarcane,2016,Kharif,404.3,30.9,Desert,30.8,266.8,2300,40000.0
Thanjavur,Tamil Nadu,Sugarcane,2018,Kharif,943.9,28.9,Red,81.0,72.3,2750,40000.0
Jodhpur,Rajasthan,Rice,2022,Kharif,653.1,30.6,Desert,31.2,169.9,2040,1500.0
Indore,Madhya Pradesh,Wheat,2017,Rabi,1464.2,30.9,Alluvial,42.1,140.8,1625,1800.0
Amritsar,Punjab,Sugarcane,2017,Kharif,553.3,24.3,Alluvial,88.1,75.4,2550,40000.0
Jabalpur,Madhya Pradesh,Wheat,2020,Rabi,1098.7,28.5,Black,46.6,254.3,1925,1800.0
Jaipur,Rajasthan,Wheat,2012,Rabi,485.0,30.5,Desert,44.3,120.0,1285,1800.0
Lucknow,Uttar Pradesh,Wheat,2015,Rabi,718.1,27.3,Alluvial,73.4,182.5,1450,1965.0
Pune,Maharashtra,Wheat,2014,Rabi,1467.5,27.0,Black,43.3,63.0,1400,1800.0
Muzaffarpur,Bihar,Rice,2016,Kharif,749.9,27.4,Alluvial,52.1,72.0,1470,1909.4
Patna,Bihar,Rice,2018,Kharif,919.2,31.4,Alluvial,55.3,137.2,1750,1988.6
Nagaon,Assam,Wheat,2023,Rabi,1796.6,23.1,Alluvial,43.5,193.6,2125,1800.0
Gorakhpur,Uttar Pradesh,Sugarcane,2018,Kharif,802.5,25.1,Alluvial,44.1,253.6,2750,40000.0
Cuttack,Odisha,Wheat,2013,Rabi,1646.1,24.9,Laterite,55.4,159.8,1350,1800.0
Thanjavur,Tamil Nadu,Rice,2015,Kharif,302.1,30.8,Red,65.8,274.9,1410,1500.0
Pune,Maharashtra,Rice,2017,Kharif,1284.7,23.9,Red,53.5,206.9,1550,1796.1
Belgaum,Karnataka,Sugarcane,2022,Kharif,1409.1,27.6,Red,28.8,127.9,3050,40000.0
Jabalpur,Madhya Pradesh,Rice,2023,Kharif,1234.4,24.5,Black,46.9,135.5,2183,2052.2
Kolhapur,Maharashtra,Rice,2017,Kharif,1219.3,32.0,Red,33.7,107.3,1550,1547.0
Amritsar,Punjab,Sugarcane,2012,Kharif,754.7,25.3,Alluvial,92.8,256.7,1700,40764.0
Gorakhpur,Uttar Pradesh,Wheat,2015,Rabi,721.8,21.4,Alluvial,63.7,88.3,1450,2582.8
Nagaon,Assam,Wheat,2018,Rabi,2347.1,23.6,Alluvial,48.3,191.3,1735,1800.0
Jaipur,Rajasthan,Rice,2017,Kharif,580.7,30.0,Desert,45.2,156.0,1550,1500.0
Gorakhpur,Uttar Pradesh,Rice,2015,Kharif,774.5,25.0,Alluvial,44.7,259.4,1410,1963.2
Indore,Madhya Pradesh,Sugarcane,2012,Zaid,606.6,29.6,Black,43.4,250.7,1700,40000.0
Patna,Bihar,Sugarcane,2013,Kharif,711.1,22.0,Alluvial,68.0,196.8,1800,40000.0
Raipur,Chhattisgarh,Sugarcane,2015,Zaid,965.6,27.5,Red,47.9,140.6,2100,40000.0
Indore,Madhya Pradesh,Wheat,2021,Rabi,1072.0,23.2,Black,59.0,87.2,1975,1800.0
Warangal,Telangana,Sugarcane,2022,Zaid,1593.3,28.1,Black,49.9,156.7,3050,53297.9
Nagaon,Assam,Wheat,2022,Rabi,1426.5,27.2,Laterite,39.1,66.4,2015,1800.0
Kolhapur,Maharashtra,Wheat,2011,Rabi,662.9,32.6,Red,44.0,88.8,1120,1800.0
Ahmedabad,Gujarat,Sugarcane,2016,Kharif,448.1,26.1,Alluvial,58.2,250.2,2300,40000.0
Coimbatore,Tamil Nadu,Sugarcane,2022,Zaid,1216.5,27.6,Red,64.9,134.8,3050,40000.0
Thanjavur,Tamil Nadu,Rice,2021,Kharif,894.8,28.7,Alluvial,75.1,251.7,1940,2587.1
Belgaum,Karnataka,Rice,2015,Kharif,889.7,25.8,Black,25.3,71.4,1410,1553.0
Thanjavur,Tamil Nadu,Rice,2012,Kharif,499.1,31.1,Alluvial,82.8,206.2,1250,1670.3
Amritsar,Punjab,Sugarcane,2016,Kharif,640.8,20.5,Alluvial,90.3,188.0,2300,40000.0
Hooghly,West Bengal,Sugarcane,2013,Zaid,1436.5,28.1,Laterite,49.1,296.3,1800,41241.5
Krishna,Andhra Pradesh,Wheat,2012,Rabi,1426.4,28.6,Red,65.8,114.5,1285,1800.0
Bardhaman,West Bengal,Wheat,2013,Rabi,1930.9,29.2,Laterite,62.9,79.4,1350,1800.0
Lucknow,Uttar Pradesh,Wheat,2010,Rabi,886.2,20.8,Alluvial,73.0,76.6,1100,2142.9
Raipur,Chhattisgarh,Rice,2015,Kharif,1046.2,28.5,Red,41.6,93.8,1410,1889.3
Cuttack,Odisha,Rice,2021,Kharif,1274.4,29.7,Laterite,39.2,234.5,1940,1602.8
Karnal,Haryana,Sugarcane,2019,Kharif,301.9,22.8,Desert,93.7,230.4,2750,40000.0
Indore,Madhya Pradesh,Wheat,2016,Rabi,1188.1,26.9,Black,47.1,117.5,1525,1800.0
Thanjavur,Tamil Nadu,Sugarcane,2013,Kharif,1112.4,27.7,Alluvial,62.7,68.8,1800,43457.7
Jodhpur,Rajasthan,Rice,2020,Kharif,258.3,34.9,Desert,35.5,249.9,1868,1500.0
Nagaon,Assam,Wheat,2011,Rabi,1876.9,24.0,Alluvial,47.9,84.2,1120,1800.0
Jabalpur,Madhya Pradesh,Rice,2021,Kharif,1348.1,26.8,Alluvial,41.0,239.8,1940,2572.4
Guntur,Andhra Pradesh,Wheat,2017,Rabi,930.4,26.0,Alluvial,62.3,62.9,1625,1800.0
Muzaffarpur,Bihar,Sugarcane,2010,Kharif,787.3,31.7,Alluvial,42.8,80.1,1450,40000.0
Thanjavur,Tamil Nadu,Wheat,2020,Rabi,988.1,29.8,Alluvial,61.4,163.8,1925,1800.0
Meerut,Uttar Pradesh,Rice,2023,Kharif,619.0,27.0,Alluvial,72.4,69.2,2183,2124.7
Gorakhpur,Uttar Pradesh,Wheat,2016,Rabi,1188.8,22.2,Alluvial,60.1,184.6,1525,1800.0
Nashik,Maharashtra,Wheat,2010,Rabi,1293.5,28.8,Red,37.5,165.5,1100,1800.0
Raipur,Chhattisgarh,Sugarcane,2022,Kharif,1479.5,26.7,Red,49.9,137.7,3050,40650.1
Ahmedabad,Gujarat,Wheat,2014,Rabi,1449.4,26.4,Desert,55.0,72.9,1400,1800.0
Belgaum,Karnataka,Rice,2010,Kharif,965.5,27.0,Black,32.4,263.2,1000,2101.3
Hisar,Haryana,Rice,2010,Kharif,468.1,22.5,Desert,55.5,287.5,1000,1500.0
Bardhaman,West Bengal,Wheat,2016,Rabi,2292.9,26.5,Alluvial,58.6,66.2,1525,1800.0
Ahmedabad,Gujarat,Sugarcane,2015,Kharif,767.9,26.7,Black,49.7,244.9,2100,40000.0
Hisar,Haryana,Wheat,2016,Rabi,684.7,23.4,Desert,74.9,274.4,1525,1800.0
Nashik,Maharashtra,Rice,2018,Kharif,1741.6,30.6,Red,38.7,147.8,1750,1500.0
Ahmedabad,Gujarat,Rice,2012,Kharif,935.9,30.7,Black,63.4,120.3,1250,1654.8
Lucknow,Uttar Pradesh,Sugarcane,2014,Zaid,731.8,26.0,Alluvial,60.5,220.8,1900,40000.0
Krishna,Andhra Pradesh,Wheat,2017,Rabi,962.1,30.0,Alluvial,70.6,137.0,1625,1800.0
Raipur,Chhattisgarh,Rice,2022,Kharif,1344.1,30.1,Laterite,41.5,262.6,2040,1751.6
Patna,Bihar,Rice,2020,Kharif,1179.5,25.9,Alluvial,49.7,270.4,1868,2798.6
Jodhpur,Rajasthan,Sugarcane,2016,Zaid,344.5,25.5,Alluvial,37.7,50.3,2300,40000.0
Nashik,Maharashtra,Rice,2021,Kharif,1266.9,27.1,Black,28.5,144.2,1940,1893.4
Nashik,Maharashtra,Sugarcane,2015,Kharif,1287.3,30.2,Red,50.2,148.0,2100,41282.7
Hisar,Haryana,Rice,2015,Kharif,522.8,26.1,Desert,73.7,91.6,1410,1500.0
Krishna,Andhra Pradesh,Wheat,2015,Rabi,1284.6,26.2,Alluvial,71.3,297.5,1450,1800.0
Hooghly,West Bengal,Sugarcane,2012,Zaid,2069.7,27.4,Laterite,35.0,89.7,1700,40000.0
Karnal,Haryana,Rice,2012,Kharif,340.1,24.5,Alluvial,92.4,124.6,1250,1792.2
Kolhapur,Maharashtra,Wheat,2013,Rabi,751.9,28.7,Black,54.1,57.8,1350,1800.0
Kolhapur,Maharashtra,Rice,2020,Kharif,553.6,25.9,Red,52.4,107.5,1868,1500.0
Krishna,Andhra Pradesh,Rice,2017,Kharif,1216.1,28.0,Alluvial,74.2,96.4,1550,2801.8
Mysore,Karnataka,Sugarcane,2020,Zaid,981.5,27.5,Red,33.3,58.1,2850,40000.0
Patiala,Punjab,Wheat,2018,Rabi,378.9,25.5,Alluvial,86.2,106.4,1735,1860.4
Indore,Madhya Pradesh,Wheat,2014,Rabi,1285.4,25.1,Black,59.6,87.4,1400,1800.0
Nagaon,Assam,Wheat,2023,Rabi,2486.1,26.1,Laterite,44.5,59.9,2125,1800.0
Jaipur,Rajasthan,Rice,2010,Kharif,424.4,25.3,Desert,42.5,204.5,1000,1500.0
Muzaffarpur,Bihar,Wheat,2021,Rabi,1115.6,25.6,Alluvial,57.1,70.6,1975,1800.0
